MUNICIPIO,CULTIVO,PERIODO,Area Sembrada (ha),Area Cosechada (ha),Produccion (t)
nuevo-colon,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nuevo-colon,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
oicata,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pachavita,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paipa,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
panqueba,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pauna,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paz-de-rio,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pesca,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pesca,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pesca,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ramiriqui,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
raquira,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
rondon,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa,2018a,[2790.0999-3100.0],[0.8-280.71997],[54000.047-60000.0]
samaca,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
samaca,papa,2018a,[310.9-620.8],[280.71997-560.63995],[12000.4-18000.352]
san-jose-de-pare,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
san-miguel-de-sema,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
san-miguel-de-sema,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-sofia,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativanorte,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativasur,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2018a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
siachoque,papa,2018a,[310.9-620.8],[560.63995-840.55994],[12000.4-18000.352]
siachoque,papa,2018a,[1.0-310.9],[0.8-280.71997],[6000.45-12000.4]
siachoque,papa,2018a,[310.9-620.8],[280.71997-560.63995],[12000.4-18000.352]
soata,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socha,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socota,papa,2018a,[1.0-310.9],[0.8-280.71997],[6000.45-12000.4]
sogamoso,papa,2018a,[1.0-310.9],[0.8-280.71997],[6000.45-12000.4]
somondoco,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sora,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa,2018a,[620.8-930.69995],[560.63995-840.55994],[12000.4-18000.352]
sotaquira,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sotaquira,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
susacon,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sutamarchan,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tasco,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibana,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibana,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibasosa,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tipacoque,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
toca,papa,2018a,[1240.6-1550.5],[0.8-280.71997],[12000.4-18000.352]
topaga,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tota,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tunja,papa,2018a,[2170.3-2480.2],[0.8-280.71997],[42000.15-48000.098]
turmeque,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tuta,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2018a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
umbita,papa,2018a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
ventaquemada,papa,2018a,[1550.5-1860.4],[0.8-280.71997],[42000.15-48000.098]
villa-de-leyva,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa,2018a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
